Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Código localidad,Localidad,Departamento,Mail,,,,Ed. Adultos,Ed. Artística,Ed. Hospitalaria Domiciliaria,Ed. Intercultural Bilingüe,Ed. Contexto de Encierro,Jardín maternal,Inicial,Primaria,Secundaria,Secundaria Técnica (INET),Superior no Universitario,Superior No Universitario (INET),Secundaria,Superior no Universitario,Cursos y Talleres,Educación Temprana,Inicial,Primaria,Secundaria,Integración,Primaria,EGB3,Secundaria,Alfabetización,Formación Profesional,Formación Profesional (INET),Inicial,Primaria,Secundaria,Servicios complementarios
Buenos Aires,60080300,ESCUELA DE EDUCACIÓN PRIMARIA Nº65,Estatal,Rural,CUARTEL XI S/N EL REMANSO,7000,2293,15-64-8269,6791044,TANDIL,TANDIL,ep65tandil@gmail.com,opp1020065@abc.gov.ar,opp1020065@abc.gov.ar,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60272500,ESCUELA DE EDUCACIÓN PRIMARIA Nº67 BRIGADIER MARTÍN RODRIGUEZ,Estatal,Urbano,COLOMBIA ESQ. S. RIVAS S/N,7000,2293,43-3985,6791044,TANDIL,TANDIL,ep67tandil@gmail.com,pp102067@abc.gov.ar,pp102067@abc.gov.ar,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61374200,ESCUELA DE EDUCACIÓN PRIMARIA Nº68 GRAL.JOSÉ DE SAN MARTIN,Estatal,Urbano,SANTAMARINA 851,7000,2293,43-3769,6791044,TANDIL,TANDIL,ep68tandil@hotmail,pp102068@abc.gov.ar,pp102068@abc.gov.ar,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61169100,ESCUELA DE EDUCACIÓN PRIMARIA Nº7 JULIO A. ROCA,Estatal,Urbano,AVDA ESPAÑA 2,7000,249,444-0950,6791044,TANDIL,TANDIL,ep7tandil@gmail.com,pp102007@abc.gov.ar,pp102007@abc.gov.ar,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60265700,ESCUELA DE EDUCACIÓN PRIMARIA Nº8 PRESBITERO MANUEL ALBERTI,Estatal,Rural,REF UNIV Y RUTA 226 KM 163 1/2 S/N ARROYO SECO,7000,249,15-460-4082,6791044,TANDIL,TANDIL,ep8tandil@gmail.com,opp1020008@abc.gov.ar,opp1020008@abc.gov.ar,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60070300,ESCUELA DE EDUCACIÓN PRIMARIA Nº9 FUERTE INDEPENDENCIA,Estatal,Rural,TABORIN C. TURISTICO SEMIPERMANENTE S/N PINAR DE LA SIERRA,7000,249,15-465-6558,6791044,TANDIL,TANDIL,ep9tandil@gmail.com,opp1020009@abc.gov.ar,opp1020009@abc.gov.ar,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60649300,ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1 DR. RAMÓN SANTAMARINA,Estatal,Rural,RP Nº30 KM 122.5 PARAJE LA PORTEÑA,7000,249,442-3686,6791054,LA PORTEÑA,TANDIL,eeatandil@gmail.com,oma1020001@abc.gov.ar,oma1020001@abc.gov.ar,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61005400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 LUCIO V MANSILLA,Estatal,Urbano,FUGL 601,7000,249,444-1050,6791044,TANDIL,TANDIL,secundaria1tandil@gmail.com,secundaria1tandil@gmail.com,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61373800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº10 GRAL JOSÉ DE SAN MARTIN,Estatal,Urbano,AV. SANTAMARINA 851,7000,294,442-3254,6791044,TANDIL,TANDIL,equipodirectivosec10@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62063400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 RENE GERONIMO FAVALORO,Estatal,Rural,LOS JAZMINES 338 AZUNENA,7000,2293,464-8519,6791044,TANDIL,TANDIL,sjulieta7308@yahoo.com.ar,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62064300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº13,Estatal,Rural,AV.DEL TRABAJADOR RURAL S/N,7000,249,458-3486,6791011,DE LA CANAL,TANDIL,secundaria13delacanal@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61760000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº14,Estatal,Urbano,PALACIOS 1597 villa gaucho,7000,249,443-0119,6791044,TANDIL,TANDIL,eesec14@yahoo.com.ar,cecilcompa@yahoo.com.ar,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61984400,ESCUELA DE EDUCACIÓN SECUNDARIA Nº15,Estatal,Urbano,AVDA.JUAN B.JUSTO 950 VILLA LAZA,7000,249,444-7224,6791044,TANDIL,TANDIL,es15tandil@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62286800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº16,Estatal,Urbano,MADERNI E/ LAMBERTO Y FERNANDEZ S/N,,249,445-1781,6791001,ACELAIN,TANDIL,es16cerroleones@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61760100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17,Estatal,Urbano,DANTE ALIGHIERI 590 LA MOVEDIZA,7000,249,445-2498,6791044,TANDIL,TANDIL,escuelasecundaria17.tandil@gmail.com,mtbarneche@gmail.com,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61760200,ESCUELA DE EDUCACION SECUNDARIA Nº18,Estatal,Urbano,11 DE SETIEMBRE E/ URIBURU Y ARANA 1461,7000,249,443-3842,6791044,TANDIL,TANDIL,escuelasecundaria18@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61760500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº19,Estatal,Urbano,J.A.CABRAL 629,7000,249,445-0145,6791044,TANDIL,TANDIL,secundaria19tandil@gmail.comr,mciccimarra@yahoo.com.ar,obs1020013@abc.gov.ar,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62021900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº20,Estatal,Urbano,JULDAIN 51,7770,249,442-1039,6791044,TANDIL,TANDIL,escedusec20tandil@yahoo.com.ar,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60619500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 DR MARCIANO ALDUNCIN,Estatal,Urbano,COLECTORA NORTE L.MA.MACAYA 2094,7000,249,443-3793,6791044,TANDIL,TANDIL,secundaria4tandil@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60081100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 SARGENTO CABRAL,Estatal,Rural,SARMIENTO ESQ.SAN MARTIN S/N,7003,249,449-1024,6791037,MARIA IGNACIA,TANDIL,eem5vela@yahoo.com.ar,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61006100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ROBERTO DABIDOS,Estatal,Urbano,SAENZ PEÑA 2154 BARRIO ARCO IRIS,7000,249,445-1949,6791044,TANDIL,TANDIL,emartadiaz@gmail.com,secundariasietetandil@gmail.com,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60929600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 FUERTE DE LA INDEPENDENCIA,Estatal,Urbano,4 DE abril 0890,7000,249,443-3833,6791044,TANDIL,TANDIL,aliciagogna@hotmail.com,mciccimarra@yahoo.com.ar,,,X,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,
Buenos Aires,60619700,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 VI BRIGADA AÉREA,Estatal,Urbano,COLECTORA NORTE LUIS M.MACAYA 2094 VILLA ALDUNCIN,7000,249,443-3793,6791044,TANDIL,TANDIL,eest1@gmail.com,menovick@hotmail.com,mt102001@abc.gov.ar,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,X,,,,,
Buenos Aires,61351200,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 INGENIERO FELIPE SENILLOSA,Estatal,Urbano,L.N. ALEM 285,7000,249,444-2633/37,6791044,TANDIL,TANDIL,tecnica2.senillosa@gmail.com,tecnica2.senillosa@gmail.com,mt102002@abc.gov.ar,,X,,,,,,,,X,X,,,,,,,,,,,,,,,X,,,,,
Buenos Aires,61022200,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº3 DR. NORBERTO PIÑERO,Estatal,Urbano,H. YRIGOYEN 636,7000,249,442-2981,6791044,TANDIL,TANDIL,secreteariatecnica3tandil@hotmail.com,mt102003@abc.gov.ar,mt102003@abc.gov.ar,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,
Buenos Aires,60650100,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº4 JOSÉ HERNANDEZ,Estatal,Rural,AVDA. INDEPENDENCIA 679,7003,2293,449-3296,6791023,GARDEY,TANDIL,tecnica4gandey@gmail.com,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60573100,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº5 JUAN DOMINGO PERÓN,Estatal,Urbano,AV.PTE. PERON 937,7000,249,443-3791,6791044,TANDIL,TANDIL,tecnica5tandil@yahoo.com.ar,,,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,
Buenos Aires,62390700,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº6,Estatal,Urbano,RUTA 226 KM 132 S/N SAN BENITO,7000,249,449-6162,6791044,TANDIL,TANDIL,tecnica2.san.antonio@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60573300,ESCUELA ESPECIAL Nº501 RICARDO GUTIERREZ,Estatal,Urbano,LAMADRID 161,7000,2494,42-8084,6791044,TANDIL,TANDIL,ee102501@abc.gov.ar,escuela501tandil@hotmail.com,ee102501@abc.gov.ar,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,
Buenos Aires,60379600,ESCUELA ESPECIAL Nº502 CECILIA GRIERSON,Estatal,Urbano,AVENIDA AVELLANEDA 872,7000,249,443-3719,6791044,TANDIL,TANDIL,ee502hosp_dom@hotmail.com,ee102502@abc.gov.ar,ee102502@abc.gov.ar,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,
Buenos Aires,60070700,ESCUELA ESPECIAL Nº503 JORGE NEWBERY,Estatal,Urbano,SAN LORENZO 782,7000,2293,443-3720,6791044,TANDIL,TANDIL,ee503tandil@hotmail.com,ee102503@abc.gov.ar,ee102503@abc.gov.ar,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,
Buenos Aires,60856800,ESCUELA ESPECIAL Nº504 DR. GILBERTO URCELAY,Estatal,Urbano,NIGRO E/ INDEPENDENCIA Y S. FRANCISCO 2200,7000,2293,43-4121,6791044,TANDIL,TANDIL,escuela504tandil@gmail.com,ee102504@abc.gov.ar,ee102504@abc.gov.ar,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,
Buenos Aires,61694400,ESCUELA NACIONAL DR. ERNESTO SABATO,Estatal,Urbano,LOBERIA 760,7000,2494,43-0387,6791044,TANDIL,TANDIL,secretariasabatol@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61022500,ESCUELA SECUNDARIA ESPECIALIZADA EN ARTE Nº1,Estatal,Urbano,4 DE abril 0651,7000,249,442-3119,6791044,TANDIL,TANDIL,escuelapolivalente@yahoo.com.ar,,,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,
Buenos Aires,61075100,ESCUELASECUNDARIA Nº2 FLORENTINO AMEGHINO,Estatal,Urbano,URQUIZA 250,7000,249,445-1797,6791044,TANDIL,TANDIL,secundaria2tandil@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62234401,EXTENSION A CENTRO DE EDUCACION FISICA Nº162,Estatal,Rural,ZONA RURAL S/N,7005,249,449-1452,6791004,AZUCENA,TANDIL,cef162mariaignacia@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Buenos Aires,62064301,EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº13,Estatal,Urbano,CHAPALEOFU Y PUJOL S/N EL MOLINO,,249,442-0693,6791044,TANDIL,TANDIL,direccionesb16l@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60619501,EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº4,Estatal,Urbano,UGALDE E/ MEXICO Y GUATEMALA 1485,7000,249,442-6231,6791044,TANDIL,TANDIL,secundaria4tandil@gmail.com,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61707500,INSTITUTO AGROTECNOLÓGICO DE TANDIL DR. RAMÓN SANTAMARINA,Estatal,Rural,RUTA Nº30 KM 122 0 LA PORTEÑA,7000,249,15-451-0999,6791044,TANDIL,TANDIL,iat.tandil@gmail.com,ois1020000@abc.gov.ar,ois1020000@abc.gov.ar,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Buenos Aires,61022400,INSTITUTO DEL PROFESORADO DE ARTE TANDIL Nº4 ESCULTOR CARLOS ALFONSO ALLENDE,Estatal,Urbano,LEANDRO N. ALEM 448,7000,249,442-2782,6791044,TANDIL,TANDIL,infoipat@gmail.com,aa102004@abc.gov.ar,aa102004@abc.gov.ar,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,
Buenos Aires,61374000,INSTITUTO SUPERIOR DE F. D. Nº166 GRAL.J.DE SAN MARTIN,Estatal,Urbano,AV.SANTAMARINA 851,7000,249,442-3837,6791044,TANDIL,TANDIL,escuelanormaltandil@gmail.com,normaltandil@ciudad.com.ar,is102166@abc.gov.ar,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Buenos Aires,60928900,INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº10,Estatal,Urbano,BELGRANO ESQ. MORENO 1610,7000,249,444-0637,6791044,TANDIL,TANDIL,instituto10@fibertel.com.ar,is102010@abc.gov.ar,is102010@abc.gov.ar,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Buenos Aires,61613900,INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TÉCNICA Nº75,Estatal,Urbano,AERONAUTICA ARGENTINA 2700,7000,249,442-3138,6791044,TANDIL,TANDIL,info@isft75.edu.ar,ois1020075@abc.gov.ar,ois1020075@abc.gov.ar,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Buenos Aires,69003300,JARDÍN DE INFANTES DR. OSVALDO M. ZARINI,Estatal,Urbano,ARANA 1539,7000,2494,42-7319,6791044,TANDIL,TANDIL,jardinzarini.unicen@gmail.com,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61003800,JARDÍN DE INFANTES Nº901 DR. RENÉ FAVALORO,Estatal,Urbano,MAIPU 348,7000,249,444-0339,6791044,TANDIL,TANDIL,jardin901tandil@gmail.com,masonwil2@hotmail.com,ji102901@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60856900,JARDÍN DE INFANTES Nº902 DR.LISARDO CABANA,Estatal,Urbano,PEYREL 1568 VILLA AGUIRRE,7000,249,442-8750,6791044,TANDIL,TANDIL,ji102902@abc.gov.ar,guadalupe_jazmin@yahoo.com.ar,ji102902@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60424900,JARDÍN DE INFANTES Nº903 MARIA ELENA WALSH,Estatal,Urbano,VICENTE LOPEZ 732 BARRIO VILLA ITALIA,7000,2293,45-1908,6791044,TANDIL,TANDIL,jardin903tandil@gmail.com,ji102903@abc.gov.ar,ji102903@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60015800,JARDÍN DE INFANTES Nº904 JOSÉ EMILIO LUNGHI,Estatal,Urbano,VIAMONTE ESQ BRANDSEN S/N,7000,2494,43-5317,6791044,TANDIL,TANDIL,jardin904tandil@gmail.com,ji102904@abc.gov.ar,ji102904@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60928800,JARDÍN DE INFANTES Nº905 JUANA AZURDUY,Estatal,Urbano,ROCA E/ BELGRANO Y MAIPU 365,7000,2293,43-3724,6791044,TANDIL,TANDIL,jardin905tandil@gmail.com,ji102905@abc.gov.ar,ji102905@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61075400,JARDÍN DE INFANTES Nº906 MERCEDITAS SAN MARTIN,Estatal,Urbano,JOSE CABRAL/PRATT Y PIZZARRO 654,7000,2494,45-2870,6791044,TANDIL,TANDIL,jardin906tandil@gmail.com,ji102906@abc.gov.ar,ji102906@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60856700,JARDÍN DE INFANTES Nº907 DR. GUILLERMO GUANELLA,Estatal,Urbano,COLOMBIA 115 BARRIO FALUCHO II,7000,249,443-3725,6791044,TANDIL,TANDIL,jardin907tandil@gmail.com,patricgomez5@abc.gob.ar,ji102907@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60081200,JARDÍN DE INFANTES Nº908 DR.ZARINI,Estatal,Rural,11 499,7003,249,449-3291,6791023,GARDEY,TANDIL,infantes908@yahoocom.ar,oji1020908@abc.gov.ar,oji1020908@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60081300,JARDÍN DE INFANTES Nº909 MERCEDITAS,Estatal,Rural,MITRE E/URIBURU Y MORENO 350,7003,2494,449-1143,6791037,MARIA IGNACIA,TANDIL,jardin909tandil@gmail.com,oji1020909@abc.gov.ar,oji1020909@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60424700,JARDÍN DE INFANTES Nº910,Estatal,Urbano,DANTE ALIGHIERI E/ LUNGHI Y RIO NEGRO 500 LA MOVEDIZA,7000,2494,45-2760,6791044,TANDIL,TANDIL,jardin910tandil@gmail.com,ji102910@abc.gov.ar,ji102910@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60928700,JARDÍN DE INFANTES Nº911 CERRO DEL LIBERTADOR,Estatal,Urbano,SERRANO (EX CHILE) 1215,7000,249,443-3720,6791044,TANDIL,TANDIL,jardin911tandil@yahoo.com.ar,ji102911@abc.gov.ar,ji102911@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60069800,JARDÍN DE INFANTES Nº912,Estatal,Urbano,PAVON 961 VILLA LAZA,7000,249,443-3731,6791044,TANDIL,TANDIL,jardin912tandil@gmail.com,ji102912@abc.gov.ar,ji102912@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60069600,JARDÍN DE INFANTES Nº913 ELDA GAFFURI,Estatal,Rural,LOS JAZMINES S/N ESTACION AZUCENA,7000,2494,62-8198,6791004,AZUCENA,TANDIL,jardin913tandil@gmail.com,oji1020913@abc.gov.ar,oji1020913@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60070500,JARDÍN DE INFANTES Nº914,Estatal,Rural,LOS ARRIEROS S/N ESTACION FULTON,7000,2293,469-9262,6791022,FULTON,TANDIL,jardin914tandil@gmail.com,oji1020914@abc.gov.ar,oji1020914@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60080700,JARDÍN DE INFANTES Nº915,Estatal,Urbano,BASSO AGUIRRE S/N CERRO LEONES,7000,249,445-1291,6791044,TANDIL,TANDIL,jardin915tandil@gmail.com,oji1020915@abc.gov.ar,oji1020915@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60856600,JARDÍN DE INFANTES Nº916 JUANA MANSO,Estatal,Urbano,SAN FRANCISCO E/ NIGRO Y BASILICO 2125 25 DE MAYO-V.AGUIRRE,7000,2494,443-3732,6791044,TANDIL,TANDIL,juanamansojardin@gmail.com,ji102916@abc.gov.ar,ji102916@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60573200,JARDÍN DE INFANTES Nº917 ROSARIO VERA PEÑALOZA,Estatal,Urbano,MONTIEL/MACHADO Y ARANA 1596,7000,2494,443-3733,6791044,TANDIL,TANDIL,0917jardintandil@gmail.com,paulacharlone@gmail.com,oji1020917@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60639500,JARDÍN DE INFANTES Nº918,Estatal,Rural,RUTA 226 - KM.132 S/N SAN BENITO,7000,294,15-460-1881,6791044,TANDIL,TANDIL,jardin918tandil@gmail.com,oji1020918@abc.gov.ar,oji1020918@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60265900,JARDÍN DE INFANTES Nº919 MARCELO RAUL FEDERICO,Estatal,Rural,REFORMA UNIVERSITARIA Y RUTA 226 1571 ARROYO SECO,7000,249,440-6954,6791044,TANDIL,TANDIL,jardin919@gmail.com,oji1020919@abc.gov.ar,oji1020919@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60649800,JARDÍN DE INFANTES Nº920 VI BRIGADA AEREA,Estatal,Rural,PARAJE BASE AEREA S/N BASE AEREA,7000,249,433-6345,6791044,TANDIL,TANDIL,sofiacacio@hotmail.com,jardin920tandil@gmail.com,oji1020920@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60080600,JARDÍN DE INFANTES Nº921,Estatal,Rural,AV. DEL TRABAJADOR RURAL S/N,7013,2293,424-1718,6791011,DE LA CANAL,TANDIL,jardin921tandil@gmail.com,oji1020921@abc.gov.ar,oji1020921@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,60379100,JARDÍN DE INFANTES Nº922 JOSÉ DE SAN MARTIN,Estatal,Urbano,AV.SANTAMARINA 851 851,7000,2293,443-3734,6791044,TANDIL,TANDIL,jardin922tandil@gmail.com,ji102922@abc.gov.ar,ji102922@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61278500,JARDÍN DE INFANTES Nº923 VILLA ITALIA NORTE,Estatal,Urbano,LA MOVEDIZA 939,7000,2293,443-3744,6791044,TANDIL,TANDIL,jardin923tandil@gmail.com,ji102923@abc.gov.ar,ji102923@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,61248000,JARDÍN DE INFANTES Nº924 FRANCISCO JULDAIN,Estatal,Urbano,BOLIVIA Y THOMAS 504,7000,2293,443-4016,6791044,TANDIL,TANDIL,jardin924tandil@gmail.com,ji102924@abc.gov.ar,ji102924@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62206700,JARDÍN DE INFANTES Nº925,Estatal,Urbano,SAENZ PEÑA E/ ENTRE RIOS Y CORRIENTES 2150 BARRIO ARCO IRIS,7000,249,445-2872,6791044,TANDIL,TANDIL,jardin925tandil@gmail.com,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62291500,JARDÍN DE INFANTES Nº926,Estatal,Urbano,SAN FRANCISCO 701 (MARZORATTI Y PASAJE 1) 701 BARRIO PALERMO,7000,249,15-424-3046,6791044,TANDIL,TANDIL,jardin926tandil@gmail.com,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62132700,JARDÍN DE INFANTES RURAL Nº1,Estatal,Rural,PJE EL SOLCITO S/N EL solcito,7000,2494,30-9163,6791065,EL SOLCITO,TANDIL,jirmm1tandil@gmail.com,dacovich_jardin@hotmail.com,ojs1020001@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62170800,JARDÍN DE INFANTES RURAL Nº10,Estatal,Urbano,IJURCO 3220,7000,2262,15-55-9421,6791053,LA PESQUERIA,TANDIL,jirimm10tandil@gmail.com,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62170200,JARDÍN DE INFANTES RURAL Nº11,Estatal,Rural,ACCESO LOS HUESOS S/N LOS HUESOS,7000,249,15-430-6934,6791056,LOS HUESOS,TANDIL,jirimm11tandil@gmail.com,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62058300,JARDÍN DE INFANTES RURAL Nº12,Estatal,Urbano,RUTA 30 - KM 122 S/N LA PORTEÑA,7000,249,15-446-8578,6791044,TANDIL,TANDIL,jirimm12tandil@gmail.com,marinafesembeck@gmail.com,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62130000,JARDÍN DE INFANTES RURAL Nº2,Estatal,Rural,LA PATRIA S/N La Patria,7000,2293,15-61-1941,6791059,SANTA TERESA,TANDIL,jirimm02tandil@gmail.com,ojs1020002@abc.gov.ar,ojs1020002@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62127300,JARDÍN DE INFANTES RURAL Nº3,Estatal,Rural,CUARTEL X BASE AEREA S/N,7000,249,15-455-7226,6791040,SAN ANTONIO,TANDIL,maral.72@hotmail.com,jirimm3tandil@gmail.com,ojs1020003@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62141500,JARDÍN DE INFANTES RURAL Nº4,Estatal,Rural,PJE. LA PASTORA S/N LA PASTORA,7000,249,15-446-8210,6791029,LA PASTORA,TANDIL,jirimm4tandil@gmail.com,rebecamengucci@yahoo.com.ar,ojs1020004@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62153700,JARDÍN DE INFANTES RURAL Nº5,Estatal,Rural,RUTA 74 S/N,7000,249,464-4427,6791014,DESVIO AGUIRRE,TANDIL,jirimncinco@gmail.com,js1020005@abc.gov.ar,js1020005@abc.gov.ar,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62154200,JARDÍN DE INFANTES RURAL Nº6,Estatal,Rural,RUTA 30 SN,7000,249,459-9301,6791034,LAS NUMANCIAS,TANDIL,jirimm6tandil@gmail.com,ojs1020006@abc.gov.ar,ojs1020006@abc.gov.ar,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,62033100,JARDÍN DE INFANTES RURAL Nº7,Estatal,Rural,CUARTEL XI S/N EL REMANSO,7000,294,15-401-7324,6791044,TANDIL,TANDIL,jirimm7tandil@gmail.com,clugones@4abc.gob.ar,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
